22 1 0 0 1 2 0 0 2 0 1 1 0 0 2 2 0 0 2 0 2 0 1 0 1
23 1 0 0 1 2 0 0 2 1 0 0 1 2 0 0 2 2 0 2 0 1 0 1 0
0 2 2 0 0 2 2 0 0 0 0 1 1 0 0 1 1 1 1 2 2 1 1 2 2
1 2 2 0 0 2 2 0 0 1 1 0 0 1 1 0 0 2 2 1 1 2 2 1 1
2 0 0 2 2 0 0 2 2 0 0 1 1 0 0 1 1 2 2 1 1 2 2 1 1
3 0 0 2 2 0 0 2 2 1 1 0 0 1 1 0 0 1 1 2 2 1 1 2 2
4 2 2 0 0 0 0 2 2 1 1 2 2 2 2 1 1 0 0 1 1 1 1 0 0
5 2 2 0 0 0 0 2 2 2 2 1 1 1 1 2 2 1 1 0 0 0 0 1 1
6 0 0 2 2 2 2 0 0 1 1 2 2 2 2 1 1 1 1 0 0 0 0 1 1
7 0 0 2 2 2 2 0 0 2 2 1 1 1 1 2 2 0 0 1 1 1 1 0 0
8 0 1 0 1 1 2 1 2 0 1 0 1 1 2 1 2 0 1 0 1 1 2 1 2
9 0 1 0 1 1 2 1 2 1 0 1 0 2 1 2 1 1 0 1 0 2 1 2 1
10 1 0 1 0 2 1 2 1 0 1 0 1 1 2 1 2 1 0 1 0 2 1 2 1
11 1 0 1 0 2 1 2 1 1 0 1 0 2 1 2 1 0 1 0 1 1 2 1 2
12 0 1 0 1 2 1 2 1 1 2 2 1 0 1 1 0 1 2 2 1 1 0 0 1
13 0 1 0 1 2 1 2 1 2 1 1 2 1 0 0 1 2 1 1 2 0 1 1 0
14 1 0 1 0 1 2 1 2 1 2 2 1 0 1 1 0 2 1 1 2 0 1 1 0
15 1 0 1 0 1 2 1 2 2 1 1 2 1 0 0 1 1 2 2 1 1 0 0 1
16 1 2 2 1 0 1 1 0 0 1 0 1 2 1 2 1 1 2 2 1 0 1 1 0
17 1 2 2 1 0 1 1 0 1 0 1 0 1 2 1 2 2 1 1 2 1 0 0 1
18 2 1 1 2 1 0 0 1 0 1 0 1 2 1 2 1 2 1 1 2 1 0 0 1
19 2 1 1 2 1 0 0 1 1 0 1 0 1 2 1 2 1 2 2 1 0 1 1 0
20 1 2 2 1 1 0 0 1 1 2 2 1 1 0 0 1 0 1 0 1 2 1 2 1
21 1 2 2 1 1 0 0 1 2 1 1 2 0 1 1 0 1 0 1 0 1 2 1 2
22 2 1 1 2 0 1 1 0 1 2 2 1 1 0 0 1 1 0 1 0 1 2 1 2
23 2 1 1 2 0 1 1 0 2 1 1 2 0 1 1 0 0 1 0 1 2 1 2 1
0 0 0 1 1 0 0 1 1 1 1 2 2 1 1 2 2 2 2 0 0 2 2 0 0
1 0 0 1 1 0 0 1 1 2 2 1 1 2 2 1 1 0 0 2 2 0 0 2 2
2 1 1 0 0 1 1 0 0 1 1 2 2 1 1 2 2 0 0 2 2 0 0 2 2
3 1 1 0 0 1 1 0 0 2 2 1 1 2 2 1 1 2 2 0 0 2 2 0 0
4 0 0 1 1 1 1 0 0 2 2 0 0 0 0 2 2 1 1 2 2 2 2 1 1
5 0 0 1 1 1 1 0 0 0 0 2 2 2 2 0 0 2 2 1 1 1 1 2 2
6 1 1 0 0 0 0 1 1 2 2 0 0 0 0 2 2 2 2 1 1 1 1 2 2
7 1 1 0 0 0 0 1 1 0 0 2 2 2 2 0 0 1 1 2 2 2 2 1 1
8 1 2 1 2 2 0 2 0 1 2 1 2 2 0 2 0 1 2 1 2 2 0 2 0
9 1 2 1 2 2 0 2 0 2 1 2 1 0 2 0 2 2 1 2 1 0 2 0 2
10 2 1 2 1 0 2 0 2 1 2 1 2 2 0 2 0 2 1 2 1 0 2 0 2
11 2 1 2 1 0 2 0 2 2 1 2 1 0 2 0 2 1 2 1 2 2 0 2 0
12 1 2 1 2 0 2 0 2 2 0 0 2 1 2 2 1 2 0 0 2 2 1 1 2
13 1 2 1 2 0 2 0 2 0 2 2 0 2 1 1 2 0 2 2 0 1 2 2 1
14 2 1 2 1 2 0 2 0 2 0 0 2 1 2 2 1 0 2 2 0 1 2 2 1
15 2 1 2 1 2 0 2 0 0 2 2 0 2 1 1 2 2 0 0 2 2 1 1 2
16 2 0 0 2 1 2 2 1 1 2 1 2 0 2 0 2 2 0 0 2 1 2 2 1
17 2 0 0 2 1 2 2 1 2 1 2 1 2 0 2 0 0 2 2 0 2 1 1 2
18 0 2 2 0 2 1 1 2 1 2 1 2 0 2 0 2 0 2 2 0 2 1 1 2
19 0 2 2 0 2 1 1 2 2 1 2 1 2 0 2 0 2 0 0 2 1 2 2 1
20 2 0 0 2 2 1 1 2 2 0 0 2 2 1 1 2 1 2 1 2 0 2 0 2
21 2 0 0 2 2 1 1 2 0 2 2 0 1 2 2 1 2 1 2 1 2 0 2 0
22 0 2 2 0 1 2 2 1 2 0 0 2 2 1 1 2 2 1 2 1 2 0 2 0
23 0 2 2 0 1 2 2 1 0 2 2 0 1 2 2 1 1 2 1 2 0 2 0 2
